"customer_id","sale_amount"
8318,89
2484,1
3948,49
1251,21
2404,9
7738,72
7531,73
5776,69
1454,48
8549,61
7493,42
3237,53
9236,90
2656,94
5203,22
5380,54
3571,31
2217,96
5731,10
3153,65
5621,52
6952,52
9547,65
4465,55
4035,29
1311,44
5830,45
4977,43
2572,45
4636,55
2340,77
8776,21
2119,27
2813,65
5980,55
5048,60
6528,9
5742,5
9886,76
3878,50
6556,67
9330,54
7936,13
4894,37
9220,27
6544,41
6012,102
6783,1
1387,88
1069,51
8306,33
7864,43
2231,85
8958,36
2394,37
1159,66
9798,60
4870,38
4384,87
2796,33
2302,49
7640,42
2264,63
8356,68
1300,56
4045,69
4885,56
8221,61
6200,57
2224,21
6845,69
8679,32
3723,18
1384,49
3242,32
3354,43
1137,64
4438,93
2086,22
3636,41
1794,56
6040,108
9342,59
2098,27
4627,1
7940,41
1581,55
4654,80
4388,23
3657,53
9802,21
9632,44
9054,81
5595,80
7603,45
3244,57
5437,6
3993,65
1819,39
5111,44
3200,81
7689,57
1709,49
2158,26
3347,58
4864,57
4130,92
3926,12
1550,82
6303,124
1898,44
6683,50
4342,38
8032,52
9470,42
2203,12
6032,63
8073,56
2589,57
7808,46
8628,55
2977,39
3675,87
7263,76
3246,5
2783,55
2054,52
8429,51
4161,64
4843,93
3307,77
3161,62
4528,59
2758,16
2695,30
6725,67
3349,57
4172,46
1767,40
2500,1
9141,55
6819,32
9729,23
3040,1
7413,19
4194,57
7123,76
6806,77
9521,36
7538,100
6389,64
2411,38
8541,109
2731,55
6688,37
2046,63
5312,52
4290,46
7985,6
4705,91
5500,82
7655,51
2775,69
6649,12
9193,78
7390,46
9785,35
7394,78
4536,36
6569,23
5472,79
1536,31
4444,55
5542,88
4736,59
4115,67
2465,61
4284,67
1770,14
2706,47
7650,47
6702,24
3092,4
8448,93
8643,1
9015,8
3555,21
1583,65
7488,57
6452,68
1177,56
3318,73
8605,17
4931,65
5790,82
7229,61
3565,17
2944,62
6790,89
1171,36
5408,62
9398,66
2533,36
9641,41
8875,78
5956,8
6173,70
2952,11
2231,65
2551,53
3418,48
4527,47
9567,24
8475,69
8390,50
7329,46
3296,41
8916,43
7256,65
1854,37
4903,20
4967,62
3531,43
2126,34
4718,49
5854,55
3537,51
7474,67
1987,50
4269,68
3746,59
4897,9
3747,63
3010,110
2680,41
7764,68
8642,56
3723,90
9923,38
5803,81
1390,67
5595,6
6402,64
5971,42
2176,82
7467,34
8588,20
9992,1
4396,42
3748,18
5134,22
3671,58
5801,27
8858,58
2025,74
8242,111
7301,24
6731,76
8701,72
7200,30
6487,75
3638,47
5090,29
6693,123
9183,54
9241,40
8925,38
6289,56
9732,39
4173,50
6540,1
5579,1
9717,48
8433,30
6177,27
1471,39
7183,70
4969,38
6822,42
8971,46
6029,16
5251,1
3855,85
4365,14
8868,46
6992,50
6047,31
8571,47
5417,10
6655,81
5733,27
2303,30
2992,21
9649,14
2817,98
6265,26
4369,69
3141,77
4746,42
5464,14
4351,50
4046,64
5746,12
9398,49
2174,19
5490,61
7656,44
8971,38
7676,42
3831,69
8094,20
9952,47
4739,43
9950,101
6779,60
5999,60
4031,33
7079,49
8015,22
8729,47
4773,21
8625,89
2484,32
8714,80
6708,43
3768,28
9592,25
1736,61
2543,1
1078,68
3847,34
3184,62
4707,24
5193,76
1442,61
1569,18
2496,51
1349,43
5615,29
8310,1
6530,70
1189,8
8285,63
9168,66
2037,11
9328,87
5990,55
7720,40
6758,117
1564,83
1328,60
1101,56
9220,60
6376,52
2867,37
8157,75
2388,63
6637,80
8089,36
4003,58
7548,1
2891,48
6447,62
2414,57
7423,53
7731,43
8165,36
4971,65
9413,57
1674,65
6631,63
7080,29
5601,27
1031,76
3426,35
2825,78
5029,62
8082,67
4347,47
5096,77
9586,14
3607,56
7117,51
2410,35
2418,78
8629,58
1655,78
3698,60
6183,2
4749,49
2099,63
1180,25
4600,35
3486,66
1846,4
1475,33
9004,71
6211,39
5022,59
3799,47
4693,72
1140,55
5766,45
2262,44
2974,57
2291,77
4319,14
2756,43
6165,55
3672,62
9806,22
1811,52
3490,7
7671,71
4722,70
1021,58
9832,73
2274,56
9758,15
7735,67
6052,68
6073,55
5471,26
8184,74
3390,41
5292,52
9138,24
4171,60
6235,67
4776,48
8015,41
9433,26
2409,25
9703,46
2971,12
9563,42
6956,58
6613,44
7265,33
1218,50
7238,1
7777,71
6034,75
3448,82
1370,55
7609,1
9557,50
4798,42
6685,43
5721,8
3046,59
2749,77
6539,55
6537,31
5036,73
3899,71
8774,22
5794,26
3838,79
8577,35
1457,40
7423,90
5547,46
7524,55
3610,55
1583,49
5771,1
1816,56
3785,60
8173,59
9002,59
1775,46
4688,20
8094,77
8811,2
2117,23
2875,42
6910,75
6311,45
4025,28
1069,26
7958,87
7327,68
1133,20
2519,42
2376,46
9510,61
3282,56
2101,25
2194,44
7548,32
4194,31
4350,43
2702,25
8099,116
7074,78
7855,64
9397,55
8519,59
8293,59
5394,59
4135,51
3977,76
5453,37
8561,61
2503,48
5024,41
6885,1
1334,24
5670,28
3235,80
4860,56
1671,67
3027,74
9380,85
3113,73
5771,17
9340,12
6352,80
7137,63
6762,62
6028,1
5379,83
7519,47
9732,42
5361,49
7368,89
4087,74
4201,53
9283,85
2641,89
1439,60
5213,17
5311,11
8467,14
5863,61
9545,120
2139,34
1473,53
1264,58
5551,35
3779,50
5496,39
2859,73
2142,54
3694,60
4883,56
1076,50
3652,39
1797,1
3417,51
2968,32
3591,45
7390,53
4487,58
7766,29
7116,42
4542,49
9712,58
2772,33
3876,31
3682,13
7899,118
3460,55
3641,98
2359,59
9683,1
2632,101
1043,2
3850,53
5297,102
6384,57
1797,62
9525,61
5345,71
2805,46
8016,48
9784,60
7591,38
7786,30
3056,59
1548,75
4845,27
8539,57
1369,62
8265,64
5187,50
5628,55
8110,13
3335,72
7156,76
3926,55
2148,30
3950,16
4918,42
2719,32
4947,1
7544,60
6739,65
7063,24
8258,75
6149,75
2997,7
4978,70
2049,47
8456,118
7631,82
5367,65
5624,25
8833,58
9594,21
4475,50
6483,50
7380,27
4449,61
7457,30
4715,25
4099,38
3147,18
2213,36
1398,34
2844,48
1224,93
9000,75
3623,78
3248,49
7362,71
1784,44
9968,64
5204,44
1747,47
3721,70
8416,25
8735,20
2216,42
