"customer_id","sale_amount"
6247,60
1167,56
6130,70
7308,34
3149,73
3664,62
1425,70
6397,37
6551,58
7446,67
3061,28
3043,25
5534,59
5295,54
2397,9
2954,46
7333,81
1438,84
1311,78
2568,60
6057,68
1962,57
9319,71
3718,1
6431,2
2778,65
3074,94
9417,51
4558,52
9963,86
7643,98
5223,59
7362,58
7498,4
4559,42
4181,67
4487,68
6084,51
8433,85
6802,87
9935,80
9413,51
8778,45
6221,53
6226,14
1838,52
1990,75
7119,24
8451,51
6843,52
9926,44
6086,34
5538,62
4388,43
4185,48
2598,49
4928,99
2342,59
8628,27
8441,79
5787,65
5128,34
4301,53
5634,51
5514,44
3323,56
4078,38
7209,33
6023,55
9186,67
5659,70
9355,23
5067,32
3549,38
6081,12
1771,87
3501,48
4972,29
7036,53
2197,62
9879,63
6471,53
4790,45
3643,79
3023,32
2941,80
4999,58
4944,68
1490,22
1743,83
3128,23
2393,44
3976,50
4309,61
3632,37
2035,63
9833,86
1006,2
4683,34
8765,57
1646,21
6572,54
2149,16
8998,17
5131,5
3882,65
2304,87
7454,41
4608,16
7113,40
3922,26
1275,47
8416,43
3655,50
7092,86
9432,92
9160,65
4092,97
7592,85
4812,66
8939,48
4173,89
3332,41
3789,54
9413,24
9596,56
1888,54
9317,81
3797,40
1357,12
9355,17
8708,47
1733,81
8940,55
4142,52
1140,36
1733,34
4897,96
1213,63
4092,4
7343,46
1466,24
3054,62
7204,40
3410,81
6117,75
4951,62
2599,103
6859,13
2853,48
5842,65
2465,37
8844,10
9210,26
6420,58
5637,59
2799,18
1408,80
6375,32
5371,21
1344,32
4958,39
6813,12
1166,107
2581,38
3714,35
9494,90
3920,63
4127,49
5875,87
4480,39
1053,45
7050,51
4818,28
7145,6
4355,66
3441,33
9103,61
3899,39
1047,33
7209,50
5113,90
8338,91
8396,56
6932,77
9566,18
3698,71
4323,56
1157,43
7955,28
1920,55
1095,5
5612,60
2135,58
8168,47
6474,50
2298,54
8132,19
2963,15
4609,36
9935,49
5622,40
6594,30
5795,94
3514,37
3285,99
6022,11
6949,64
3323,21
9133,36
8886,29
8330,82
5401,91
9467,93
1149,2
2483,42
4518,39
8195,9
6586,67
2366,42
6406,36
7332,42
2971,55
6568,97
1553,48
6955,72
2415,63
4607,46
5976,90
9072,56
6408,65
3398,58
7694,98
1217,60
7946,80
4453,42
8807,48
1447,4
5265,17
1250,86
1234,63
9097,41
6340,55
3306,45
5708,79
8538,41
8992,9
6057,33
6897,50
6467,80
3910,52
1192,49
9441,69
1090,66
6565,18
3590,59
7432,57
1396,66
7465,35
8384,64
9737,71
3578,31
7698,69
9302,19
1033,34
9803,84
6738,24
6057,48
4689,35
4655,77
6018,7
1051,57
5985,44
2882,114
3217,73
8893,55
9732,47
9419,19
3159,57
7621,15
4487,34
7632,26
4830,74
7755,91
9227,42
1867,72
2089,48
9474,38
8526,54
8629,65
5332,42
7926,43
8200,16
9628,10
2806,46
2918,12
5573,26
2003,95
6504,78
8236,25
1102,8
1616,75
9204,44
2385,69
5040,69
3785,21
6991,53
9128,54
4240,42
7093,51
5283,33
6922,58
1445,89
9404,50
3376,53
4030,74
5842,85
1527,42
4690,15
4268,63
3672,59
4200,39
2226,39
4885,57
6117,46
2664,1
8772,32
8213,40
5376,119
8890,74
2587,29
9901,63
6468,31
4257,47
3366,90
9951,73
3919,59
8603,85
1737,75
9357,54
4422,66
4141,18
1757,64
5984,29
2322,56
1177,31
4189,52
4043,62
9383,56
7534,74
5554,9
4463,97
5824,35
2923,46
4086,49
3951,70
8757,79
2815,73
3356,110
3261,26
2723,40
9839,14
2581,28
4380,25
3746,23
8209,46
6087,1
1443,75
5815,68
3640,59
4181,40
6108,37
6870,51
7610,43
2113,43
8892,65
5784,16
3995,70
6086,30
3761,62
7039,42
5094,89
6677,62
7282,103
1882,35
6842,86
3692,35
5409,31
2298,67
7917,71
7273,47
9752,72
6345,20
9538,37
7377,61
8738,35
9691,60
5175,30
4059,42
9143,24
7597,27
6369,34
2788,72
6314,98
9868,61
1855,47
7559,26
1111,36
8234,34
5268,11
4762,62
5804,37
3288,53
1318,37
6910,58
2600,1
7082,1
9892,23
2399,63
2572,24
9945,32
3590,88
4071,50
3938,73
9735,67
8477,35
2413,40
1941,68
8552,53
6118,59
9181,71
8279,113
8746,41
6461,38
2852,1
